    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     250       3437.81     1.2829   9.614E+00   0.2540   0.1000   6.082E-16  -5.39449584E-05   5.34941865E-02
     300       3937.73     1.2851   9.090E+00   0.2746   0.1000   5.994E-16  -1.03077894E-04   6.13359068E-02
     350        4387.5     1.1903   9.352E+00   0.2933   0.1000   5.724E-16  -1.72278702E-04   7.01468518E-02
     400       4865.62     1.2686   9.111E+00   0.3468   0.1000   5.915E-16  -3.30208984E-04   8.33797579E-02
     450       5323.91     1.2241   9.733E+00   0.3704   0.1000   5.655E-16  -4.52146586E-04   8.84438301E-02
     500        5773.9     1.2373   8.665E+00   0.2936   0.1000   5.434E-16  -4.09832956E-04   9.77895027E-02
     550       6217.13     1.0813   9.887E+00   0.3877   0.1000   6.314E-16  -3.23972851E-04   1.10168264E-01
     600       6645.29     1.1265   9.158E+00   0.3444   0.1000   5.631E-16  -3.88342702E-04   1.09292446E-01
     650       7084.15     1.0991   8.996E+00   0.3402   0.1000   6.086E-16  -5.48415118E-04   1.14624264E-01
     700       7535.46     1.3300   9.101E+00   0.3944   0.1000   5.993E-16  -6.62201364E-04   1.28156075E-01
     750       7975.44     1.3069   8.133E+00   0.3505   0.1000   5.112E-16  -5.90145093E-04   1.43165974E-01
     800          8400     1.3298   7.980E+00   0.3253   0.1000   2.462E-16  -1.82147836E-04   1.48568778E-01
     850        8784.8     1.2254   7.003E+00   0.2897   0.1000   4.385E-16   4.21778905E-04   1.53575442E-01
     900       9166.94     1.1225   8.395E+00   0.3775   0.1000   8.361E-16   1.00321338E-03   1.69063762E-01
     950       9573.52     1.1507   7.535E+00   0.3263   0.1000   5.785E-16   1.48369609E-03   1.81409733E-01
    1000       9947.95     1.1248   8.052E+00   0.3984   0.1000   6.505E-16   1.65787154E-03   1.85041922E-01
    1050       10322.8     1.1231   7.295E+00   0.3119   0.1000   5.811E-16   1.74625173E-03   1.86415047E-01
    1100       10706.8     1.2526   8.128E+00   0.4145   0.1000   7.360E-16   1.84042870E-03   2.05917209E-01
    1112         10800     0.2916   8.027E+00   0.4183   0.1000   2.177E-16   1.85553705E-03   2.12101090E-01
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0010   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
      50       1107.19     1.4883   1.704E+01   0.0558   0.1000   1.092E-15   2.19783226E-08   4.34069539E-04
     100       1812.08     1.2646   1.182E+01   0.2565   0.1000   7.649E-16   2.93922386E-06   2.56058038E-02
     150       2339.73     1.2339   1.022E+01   0.2705   0.1000   6.864E-16   1.42020164E-05   3.57965097E-02
     200       2926.46     1.1849   1.072E+01   0.2541   0.1000   7.425E-16  -7.56374532E-06   3.53908781E-02
     250       3437.81     1.3288   9.614E+00   0.2540   0.1000   6.082E-16  -5.39449584E-05   5.34941865E-02
     300       3937.73     1.2781   9.090E+00   0.2746   0.1000   5.994E-16  -1.03077894E-04   6.13359068E-02
     350        4387.5     1.5099   9.352E+00   0.2933   0.1000   5.724E-16  -1.72278702E-04   7.01468518E-02
     400       4865.62     1.1172   9.111E+00   0.3468   0.1000   5.915E-16  -3.30208984E-04   8.33797579E-02
     450       5323.91     1.1538   9.733E+00   0.3704   0.1000   5.655E-16  -4.52146586E-04   8.84438301E-02
     500        5773.9     1.3209   8.665E+00   0.2936   0.1000   5.434E-16  -4.09832956E-04   9.77895027E-02
     550       6217.13     1.3277   9.887E+00   0.3877   0.1000   6.314E-16  -3.23972851E-04   1.10168264E-01
     600       6645.29     1.2518   9.158E+00   0.3444   0.1000   5.631E-16  -3.88342702E-04   1.09292446E-01
     650       7084.15     1.2058   8.996E+00   0.3402   0.1000   6.086E-16  -5.48415118E-04   1.14624264E-01
     700       7535.46     1.3784   9.101E+00   0.3944   0.1000   5.993E-16  -6.62201364E-04   1.28156075E-01
     750       7975.44     1.4470   8.133E+00   0.3505   0.1000   5.112E-16  -5.90145093E-04   1.43165974E-01
     800          8400     1.1369   7.980E+00   0.3253   0.1000   2.462E-16  -1.82147836E-04   1.48568778E-01
     850        8784.8     1.1583   7.003E+00   0.2897   0.1000   4.385E-16   4.21778905E-04   1.53575442E-01
     900       9166.94     1.2189   8.395E+00   0.3775   0.1000   8.361E-16   1.00321338E-03   1.69063762E-01
     950       9573.52     1.1890   7.535E+00   0.3263   0.1000   5.785E-16   1.48369609E-03   1.81409733E-01
    1000       9947.95     1.4124   8.052E+00   0.3984   0.1000   6.505E-16   1.65787154E-03   1.85041922E-01
    1050       10322.8     1.2404   7.295E+00   0.3119   0.1000   5.811E-16   1.74625173E-03   1.86415047E-01
    1100       10706.8     1.2068   8.128E+00   0.4145   0.1000   7.360E-16   1.84042870E-03   2.05917209E-01
    1112         10800     0.3051   8.027E+00   0.4183   0.1000   2.177E-16   1.85553705E-03   2.12101090E-01
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0015   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
      50       1107.19     1.3831   1.704E+01   0.0558   0.1000   1.092E-15   2.19783226E-08   4.34069539E-04
     100       1812.08     1.3498   1.182E+01   0.2565   0.1000   7.649E-16   2.93922386E-06   2.56058038E-02
     150       2339.73     1.0720   1.022E+01   0.2705   0.1000   6.864E-16   1.42020164E-05   3.57965097E-02
     200       2926.46     1.1845   1.072E+01   0.2541   0.1000   7.425E-16  -7.56374532E-06   3.53908781E-02
     250       3437.81     1.2704   9.614E+00   0.2540   0.1000   6.082E-16  -5.39449584E-05   5.34941865E-02
     300       3937.73     1.3719   9.090E+00   0.2746   0.1000   5.994E-16  -1.03077894E-04   6.13359068E-02
     350        4387.5     1.2814   9.352E+00   0.2933   0.1000   5.724E-16  -1.72278702E-04   7.01468518E-02
     400       4865.62     1.3979   9.111E+00   0.3468   0.1000   5.915E-16  -3.30208984E-04   8.33797579E-02
     450       5323.91     1.4812   9.733E+00   0.3704   0.1000   5.655E-16  -4.52146586E-04   8.84438301E-02
     500        5773.9     1.2058   8.665E+00   0.2936   0.1000   5.434E-16  -4.09832956E-04   9.77895027E-02
     550       6217.13     1.2346   9.887E+00   0.3877   0.1000   6.314E-16  -3.23972851E-04   1.10168264E-01
     600       6645.29     1.1900   9.158E+00   0.3444   0.1000   5.631E-16  -3.88342702E-04   1.09292446E-01
     650       7084.15     1.2460   8.996E+00   0.3402   0.1000   6.086E-16  -5.48415118E-04   1.14624264E-01
     700       7535.46     1.3746   9.101E+00   0.3944   0.1000   5.993E-16  -6.62201364E-04   1.28156075E-01
     750       7975.44     1.2208   8.133E+00   0.3505   0.1000   5.112E-16  -5.90145093E-04   1.43165974E-01
     800          8400     1.2871   7.980E+00   0.3253   0.1000   2.462E-16  -1.82147836E-04   1.48568778E-01
     850        8784.8     1.2635   7.003E+00   0.2897   0.1000   4.385E-16   4.21778905E-04   1.53575442E-01
     900       9166.94     1.2603   8.395E+00   0.3775   0.1000   8.361E-16   1.00321338E-03   1.69063762E-01
     950       9573.52     1.2605   7.535E+00   0.3263   0.1000   5.785E-16   1.48369609E-03   1.81409733E-01
    1000       9947.95     1.3681   8.052E+00   0.3984   0.1000   6.505E-16   1.65787154E-03   1.85041922E-01
    1050       10322.8     1.2628   7.295E+00   0.3119   0.1000   5.811E-16   1.74625173E-03   1.86415047E-01
    1100       10706.8     1.1990   8.128E+00   0.4145   0.1000   7.360E-16   1.84042870E-03   2.05917209E-01
    1112         10800     0.2995   8.027E+00   0.4183   0.1000   2.177E-16   1.85553705E-03   2.12101090E-01
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0013   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
      50       1107.19     1.2722   1.704E+01   0.0558   0.1000   1.092E-15   2.19783226E-08   4.34069539E-04
     100       1812.08     1.4569   1.182E+01   0.2565   0.1000   7.649E-16   2.93922386E-06   2.56058038E-02
     150       2339.73     1.1910   1.022E+01   0.2705   0.1000   6.864E-16   1.42020164E-05   3.57965097E-02
     200       2926.46     1.1951   1.072E+01   0.2541   0.1000   7.425E-16  -7.56374532E-06   3.53908781E-02
     250       3437.81     1.2166   9.614E+00   0.2540   0.1000   6.082E-16  -5.39449584E-05   5.34941865E-02
     300       3937.73     1.2323   9.090E+00   0.2746   0.1000   5.994E-16  -1.03077894E-04   6.13359068E-02
     350        4387.5     1.1322   9.352E+00   0.2933   0.1000   5.724E-16  -1.72278702E-04   7.01468518E-02
     400       4865.62     1.1770   9.111E+00   0.3468   0.1000   5.915E-16  -3.30208984E-04   8.33797579E-02
     450       5323.91     1.1373   9.733E+00   0.3704   0.1000   5.655E-16  -4.52146586E-04   8.84438301E-02
     500        5773.9     2.4631   8.665E+00   0.2936   0.1000   5.434E-16  -4.09832956E-04   9.77895027E-02
     550       6217.13     1.5836   9.887E+00   0.3877   0.1000   6.314E-16  -3.23972851E-04   1.10168264E-01
     600       6645.29     1.4310   9.158E+00   0.3444   0.1000   5.631E-16  -3.88342702E-04   1.09292446E-01
     650       7084.15     1.2310   8.996E+00   0.3402   0.1000   6.086E-16  -5.48415118E-04   1.14624264E-01
     700       7535.46     1.5705   9.101E+00   0.3944   0.1000   5.993E-16  -6.62201364E-04   1.28156075E-01
     750       7975.44     1.3690   8.133E+00   0.3505   0.1000   5.112E-16  -5.90145093E-04   1.43165974E-01
     800          8400     1.2590   7.980E+00   0.3253   0.1000   2.462E-16  -1.82147836E-04   1.48568778E-01
     850        8784.8     1.2649   7.003E+00   0.2897   0.1000   4.385E-16   4.21778905E-04   1.53575442E-01
     900       9166.94     1.1831   8.395E+00   0.3775   0.1000   8.361E-16   1.00321338E-03   1.69063762E-01
     950       9573.52     1.1969   7.535E+00   0.3263   0.1000   5.785E-16   1.48369609E-03   1.81409733E-01
    1000       9947.95     1.3776   8.052E+00   0.3984   0.1000   6.505E-16   1.65787154E-03   1.85041922E-01
    1050       10322.8     1.2488   7.295E+00   0.3119   0.1000   5.811E-16   1.74625173E-03   1.86415047E-01
    1100       10706.8     1.1415   8.128E+00   0.4145   0.1000   7.360E-16   1.84042870E-03   2.05917209E-01
    1112         10800     0.2902   8.027E+00   0.4183   0.1000   2.177E-16   1.85553705E-03   2.12101090E-01
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0011   1.471E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
      50       620.014     8.3070   9.946E+00   0.0941   0.1000   3.031E-15  -8.17543136E-09   3.31882745E-04
     100       1017.84     7.5316   5.897E+00   0.2630   0.1000   1.986E-15  -1.54317044E-06   1.44169695E-02
     150       1282.03     7.5224   5.027E+00   0.2793   0.1000   1.582E-15  -1.04869150E-05   2.67777654E-02
     200       1559.85     8.3104   5.949E+00   0.3011   0.1000   1.803E-15  -3.40983246E-05   2.19348954E-02
     250       1854.22     8.7057   5.156E+00   0.3194   0.1000   1.643E-15  -5.52666018E-05   2.86164454E-02
     300       2109.57     8.7342   4.733E+00   0.3173   0.1000   1.597E-15  -5.33682060E-05   4.02403075E-02
     350       2345.83     7.3545   4.936E+00   0.3607   0.1000   1.462E-15  -4.61937884E-05   4.66731639E-02
     400       2598.63     7.5794   4.984E+00   0.3393   0.1000   1.626E-15  -4.55681323E-05   4.92900793E-02
     450        2838.5     7.8201   4.840E+00   0.3413   0.1000   1.638E-15  -4.29911738E-05   5.04267862E-02
     500       3082.33     7.8620   5.030E+00   0.3464   0.1000   1.455E-15  -3.81815372E-05   5.68177148E-02
     550        3312.8     7.6561   4.237E+00   0.3144   0.1000   1.286E-15  -2.87550901E-05   6.37713212E-02
     600       3537.88     7.3185   4.961E+00   0.3879   0.1000   1.490E-15  -2.67296540E-05   6.96358627E-02
     650       3765.23     7.6129   4.674E+00   0.3756   0.1000   1.474E-15  -2.92900633E-05   7.77469425E-02
     700       3982.71     7.7329   4.029E+00   0.3614   0.1000   1.128E-15  -1.50647946E-05   8.20442784E-02
     750       4188.84     7.3401   4.014E+00   0.3071   0.1000   1.221E-15   1.51000888E-05   8.32858752E-02
     800       4398.18     7.8441   4.577E+00   0.3464   0.1000   1.618E-15   5.62770807E-05   8.99395665E-02
     850       4615.55     7.7409   4.471E+00   0.3854   0.1000   1.303E-15   1.22795407E-04   9.50146085E-02
     900        4834.3     7.6672   4.154E+00   0.3556   0.1000   1.268E-15   2.02939160E-04   9.51583130E-02
     950       5043.07     7.2820   4.411E+00   0.3746   0.1000   1.307E-15   2.47948192E-04   9.84776942E-02
    1000       5270.62     7.3700   4.450E+00   0.3822   0.1000   1.278E-15   2.62699783E-04   1.05281720E-01
    1050       5488.47     7.4962   4.617E+00   0.4585   0.1000   1.384E-15   2.68049200E-04   1.13926496E-01
    1100       5712.57     7.7554   4.211E+00   0.3680   0.1000   1.174E-15   2.89592061E-04   1.18919191E-01
    1150       5931.45     7.4289   4.106E+00   0.3374   0.1000   1.672E-15   2.95542441E-04   1.23054043E-01
    1200       6130.34     7.8298   4.059E+00   0.3514   0.1000   1.611E-15   2.96653237E-04   1.30239793E-01
    1250       6344.87    11.0719   4.499E+00   0.4303   0.1000   1.709E-15   3.17680815E-04   1.33769533E-01
